code	title	ec
00450	Selenocompound metabolism	CG11401  CG2151  CG5025  CG8553  CG15100  CG31322  CG6950  CG12788  CG1427  CG5345  CG8363  CG6950  CG11401  CG2151  CG5345 
00471	D-Glutamine and D-glutamate metabolism	CG4434  CG5320  CG42708  CG42708 
00472	D-Arginine and D-ornithine metabolism	CG11236  CG11236 
00480	Glutathione metabolism	CG11951  CG11956  CG14516  CG2111  CG31233  CG31343  CG31445  CG3502  CG9806  CG1492  CG17636  CG4829  CG6461  CG12013  CG15116  CG6673  CG6776  CG6781  CG12529  CG7140  CG7176  CG6835  CG2259  CG4919  CG1492  CG17636  CG4829  CG6461  CG11951  CG11956  CG14516  CG2111  CG31233  CG31343  CG31445  CG3502  CG9806  CG4752  CG1492  CG17636  CG4829  CG6461  CG10045  CG10091  CG11512  CG11784  CG12242  CG1681  CG16936  CG1702  CG1742  CG17522  CG17523  CG17524  CG17525  CG17527  CG17530  CG17531  CG17533  CG17534  CG17639  CG18548  CG30000  CG30005  CG33177  CG33178  CG33546  CG4181  CG4371  CG4381  CG4421  CG4423  CG4688  CG5164  CG5224  CG6662  CG8938  CG3724  CG8719  CG8721  CG8327  CG4300  CG8327  CG5371  CG8975  CG5371  CG8975  CG13340  CG32063  CG9285  CG13340  CG32063  CG9285  CG18369  CG32064  CG32351  CG4439  CG4750  CG6372  CG18369  CG32064  CG32351  CG4439  CG4750  CG6372 
00500	Starch and sucrose metabolism	CG3001  CG32849  CG33102  CG8094  CG11669  CG11909  CG14934  CG14935  CG7685  CG8690  CG8693  CG8694  CG8695  CG8696  CG4347  CG4104  CG44244  CG6904  CG10202  CG5165  CG8073  CG15400  CG3001  CG32849  CG33102  CG8094  CG8251  CG33138  CG4104  CG5171  CG5177  CG6262  CG9364  CG17876  CG18730  CG8221  CG11669  CG11909  CG14934  CG14935  CG7685  CG8690  CG8693  CG8694  CG8695  CG8696  CG7254  CG9485  CG17876  CG18730  CG8221 
00510	N-Glycan biosynthesis	CG6308  CG33977  CG42456  CG5091  CG8412  CG11851  CG4084  CG2448  CG4871  CG31849  CG7921  CG18802  CG11874  CG31202  CG42275  CG17173  CG9384  CG14476  CG1597  CG11306  CG1518  CG7748  CG7870  CG1291  CG18012  CG14512  CG10166  CG5287  CG8311  CG32076  CG8412  CG4542  CG5091  CG11306  CG11306  CG11851  CG11851  CG4084  CG1291  CG1291  CG18012  CG14512  CG6308  CG5287  CG1597  CG18802  CG14476  CG14476  CG11874  CG31202  CG42275  CG11874  CG31202  CG42275  CG11874  CG31202  CG42275  CG11874  CG31202  CG42275  CG18802  CG17173  CG9384  CG4871  CG7921  CG2448  CG31849  CG4871  CG13431  CG13393  CG33303  CG6370  CG7830  CG9022  CG1291  CG11306  CG11851  CG4542  CG32076  CG14476  CG13431 
00511	Other glycan degradation	CG3132  CG9092  CG4606  CG5322  CG6206  CG9463  CG9465  CG9466  CG9468  CG4606  CG5322  CG6206  CG9463  CG9465  CG9466  CG9468  CG6128  CG10474  CG1827  CG4372  CG1318  CG1787  CG8824  CG3132  CG9092  CG1318  CG1787  CG7985  CG8824  CG1318  CG1787  CG12582  CG5613  CG3132  CG9092  CG1318  CG1787  CG3132  CG9092  CG31148  CG31414  CG33090 
00512	Mucin type O-glycan biosynthesis	CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG2975  CG2983  CG3119  CG34056  CG34057  CG34451  CG34452  CG7440  CG8708  CG9520  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG2975  CG2983  CG3119  CG34056  CG34057  CG34451  CG34452  CG7440  CG8708  CG9520  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG2975  CG2983  CG3119  CG34056  CG34057  CG34451  CG34452  CG7440  CG8708  CG9520  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182  CG10000  CG2103  CG30463  CG31651  CG31776  CG31956  CG3254  CG4445  CG6394  CG7297  CG7304  CG7480  CG7579  CG8182 
00514	Other types of O-glycan biosynthesis	CG31915  CG9109  CG4871  CG10580  CG12366  CG14789  CG31139  CG31152  CG9996  CG10392  CG9867  CG12311  CG6097  CG12311  CG6097  CG12311  CG6097  CG12311  CG6097 
00515	Mannose type O-glycan biosynthesis	CG12311  CG6097  CG12311  CG6097  CG12311  CG6097  CG12311  CG6097  CG12311  CG6097  CG12311  CG6097  CG12311  CG6097  CG3253  CG15651  CG15651  CG3253 
00520	Amino sugar and nucleotide sugar metabolism	CG6218  CG10627  CG9535  CG5232  CG15771  CG6957  CG17065  CG12449  CG1345  CG1969  CG5232  CG1318  CG1787  CG10531  CG18140  CG1869  CG2054  CG30293  CG3044  CG3986  CG43374  CG9307  CG9357  CG3001  CG32849  CG33102  CG8094  CG10531  CG18140  CG1869  CG2054  CG30293  CG3044  CG3986  CG43374  CG9307  CG9357  CG3001  CG32849  CG33102  CG8094  CG2666  CG7464  CG32220  CG11257  CG5946  CG7914  CG32220  CG9232  CG12030  CG10072  CG7979  CG8417  CG10688  CG10202  CG5165  CG8073  CG3001  CG32849  CG33102  CG8094  CG1129  CG8207  CG10202  CG5165  CG8073  CG3001  CG32849  CG33102  CG8094  CG8890  CG3495  CG8251  CG3001  CG32849  CG33102  CG8094  CG4347 
00531	Glycosaminoglycan degradation	CG14291  CG18278  CG30059  CG12014  CG12014  CG6201  CG6201  CG7402  CG8646  CG3132  CG9092  CG6903  CG1318  CG1787  CG13397  CG1318  CG1787  CG15117  CG2135  CG18278  CG30059  CG7402  CG8646  CG15117  CG2135  CG15117  CG2135  CG12014  CG6201  CG13397  CG15117  CG2135  CG12014  CG6201  CG13397  CG14291  CG1318  CG1787  CG18278  CG30059  CG3132  CG9092  CG3132  CG9092  CG18278  CG30059  CG15117  CG2135  CG15117  CG2135  CG15117  CG2135  CG1318  CG1787 
00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	CG32775  CG32300  CG11780  CG12913  CG43313  CG9220  CG43313  CG9220  CG12913  CG32775  CG8734  CG11780  CG32300  CG12913  CG43313  CG9220  CG43313  CG9220  CG31743  CG8734  CG12913  CG43313  CG9220  CG12913  CG43313  CG9220 
00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	CG15110  CG32300  CG10117  CG8433  CG8339  CG7890  CG4451  CG3194  CG11780  CG10234  CG10117  CG8433  CG15110  CG3194  CG8734  CG32775  CG15110  CG10117  CG8433  CG15110  CG10117  CG8433  CG10117  CG8433  CG10117  CG8433  CG10234  CG4451  CG8339  CG33147  CG7890  CG7890 
